Date,New York,Orlando,Philadelphia,Phoenix,San Francisco
2012-01-15,58,23,11,17,20
2012-01-22,51,19,9,14,15
2012-01-29,47,22,7,16,15
2012-02-05,49,21,7,14,17
2012-02-12,49,20,7,17,15
2012-02-19,57,25,8,15,18
2012-02-26,51,22,10,17,14
2012-03-04,56,22,10,16,17
2012-03-11,49,23,6,18,18
2012-03-18,58,20,7,17,18
2012-03-25,51,19,10,15,19
2012-04-01,49,17,10,14,14
2012-04-08,49,17,8,14,17
2012-04-15,58,18,8,15,17
2012-04-22,56,17,8,16,16
2012-04-29,59,16,8,15,18
2012-05-06,58,17,8,14,16
2012-05-13,49,18,13,13,19
2012-05-20,53,19,11,19,17
2012-05-27,53,20,8,18,15
2012-06-03,56,13,8,15,19
2012-06-10,54,18,10,19,22
2012-06-17,54,14,8,24,21
2012-06-24,52,21,12,19,17
2012-07-01,53,19,11,15,21
2012-07-08,60,18,9,19,17
2012-07-15,64,16,11,22,18
2012-07-22,66,16,11,20,19
2012-07-29,65,15,10,12,19
2012-08-05,63,15,10,16,19
2012-08-12,70,19,10,18,17
2012-08-19,62,17,7,17,22
2012-08-26,63,18,11,15,18
2012-09-02,53,14,11,14,16
2012-09-09,52,14,9,13,15
2012-09-16,52,15,8,17,23
2012-09-23,52,12,8,18,16
2012-09-30,47,16,11,14,13
2012-10-07,51,14,8,18,15
2012-10-14,49,13,7,14,18
2012-10-21,50,19,8,16,18
2012-10-28,81,18,17,18,19
2012-11-04,59,15,11,17,17
2012-11-11,44,16,9,21,15
2012-11-18,49,15,8,15,14
2012-11-25,48,16,8,15,19
2012-12-02,45,14,8,12,14
2012-12-09,43,13,9,13,13
2012-12-16,51,14,10,15,19
2012-12-23,63,20,13,18,16
2012-12-30,73,21,11,20,20
2013-01-06,64,21,8,18,18
2013-01-13,59,18,10,18,18
2013-01-20,58,20,10,17,19
2013-01-27,50,21,8,18,16
2013-02-03,71,17,15,17,18
2013-02-10,56,15,9,16,18
2013-02-17,49,18,9,18,17
2013-02-24,59,22,11,17,20
2013-03-03,59,16,13,19,18
2013-03-10,54,17,10,16,19
2013-03-17,55,18,9,16,18
2013-03-24,55,22,10,18,18
2013-03-31,47,18,10,16,19
2013-04-07,56,15,9,15,18
2013-04-14,53,14,8,16,18
2013-04-21,56,15,11,15,21
2013-04-28,54,15,9,14,21
2013-05-05,52,16,8,13,19
2013-05-12,56,17,10,14,22
2013-05-19,58,17,12,20,19
2013-05-26,53,16,9,20,22
2013-06-02,57,21,11,20,19
2013-06-09,59,18,11,19,18
2013-06-16,55,21,10,23,20
2013-06-23,58,20,14,23,21
2013-06-30,67,18,13,23,37
2013-07-07,66,18,12,19,66
2013-07-14,65,18,14,18,31
2013-07-21,64,19,10,17,25
2013-07-28,70,17,11,19,27
2013-08-04,59,19,15,15,22
2013-08-11,68,19,11,18,28
2013-08-18,57,17,10,13,22
2013-08-25,54,14,10,13,18
2013-09-01,56,15,8,13,19
2013-09-08,60,15,10,19,16
2013-09-15,55,17,9,16,19
2013-09-22,54,16,9,15,18
2013-09-29,60,17,8,16,17
2013-10-06,54,17,9,21,17
2013-10-13,50,19,9,16,13
2013-10-20,48,18,8,17,15
2013-10-27,52,14,8,13,16
2013-11-03,51,16,6,16,19
2013-11-10,56,16,9,13,16
2013-11-17,53,14,10,15,14
2013-11-24,60,17,10,14,16
2013-12-01,51,13,9,20,17
2013-12-08,57,17,15,12,19
2013-12-15,58,17,10,18,16
2013-12-22,63,16,11,24,20
2013-12-29,92,23,17,25,23
